i,Variable,Definition
1337,PELL_COMP_2YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 6 years
1338,PELL_WDRAW_ORIG_YR6_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 6 years
1339,PELL_WDRAW_4YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 6 years
1340,PELL_WDRAW_2YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 6 years
1341,PELL_ENRL_ORIG_YR6_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 6 years
1342,PELL_ENRL_4YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
1343,PELL_ENRL_2YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
1344,PELL_UNKN_ORIG_YR6_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 6 years at original institution
1345,PELL_UNKN_4YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
1346,PELL_UNKN_2YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 6 years
1347,NOPELL_DEATH_YR6_RT,Percent of students who never received a Pell Grant at the institution and who died within 6 years at original institution
1348,NOPELL_COMP_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and who completed in 6 years at original institution
1349,NOPELL_COMP_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 6 years
1350,NOPELL_COMP_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 6 years
1351,NOPELL_WDRAW_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 6 years
1352,NOPELL_WDRAW_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 6 years
1353,NOPELL_WDRAW_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 6 years
1354,NOPELL_ENRL_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 6 years
1355,NOPELL_ENRL_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
1356,NOPELL_ENRL_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
1357,NOPELL_UNKN_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 6 years at original institution
1358,NOPELL_UNKN_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
1359,NOPELL_UNKN_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 6 years
1360,LOAN_DEATH_YR6_RT,Percent of students who received a federal loan at the institution and who died within 6 years at original institution
1361,LOAN_COMP_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and who completed in 6 years at original institution
1362,LOAN_COMP_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 6 years
1363,LOAN_COMP_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 6 years
1364,LOAN_WDRAW_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 6 years
1365,LOAN_WDRAW_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 6 years
1366,LOAN_WDRAW_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 6 years
1367,LOAN_ENRL_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 6 years
1368,LOAN_ENRL_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
1369,LOAN_ENRL_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
1370,LOAN_UNKN_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and with status unknown within 6 years at original institution
1371,LOAN_UNKN_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
1372,LOAN_UNKN_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 6 years
1373,NOLOAN_DEATH_YR6_RT,Percent of students who never received a federal loan at the institution and who died within 6 years at original institution
1374,NOLOAN_COMP_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and who completed in 6 years at original institution
1375,NOLOAN_COMP_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 6 years
1376,NOLOAN_COMP_2YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 6 years
1377,NOLOAN_WDRAW_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and withdrew from original institution within 6 years
1378,NOLOAN_WDRAW_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 6 years
1379,NOLOAN_WDRAW_2YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 6 years
1380,NOLOAN_ENRL_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 6 years
1381,NOLOAN_ENRL_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
1382,NOLOAN_ENRL_2YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
1383,NOLOAN_UNKN_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and with status unknown within 6 years at original institution
1384,NOLOAN_UNKN_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
1385,NOLOAN_UNKN_2YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 6 years
1386,FIRSTGEN_DEATH_YR6_RT,Percent of first-generation students who died within 6 years at original institution
1387,FIRSTGEN_COMP_ORIG_YR6_RT,Percent of first-generation students who completed within 6 years at original institution
1388,FIRSTGEN_COMP_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 6 years
1389,FIRSTGEN_COMP_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 6 years
1390,FIRSTGEN_WDRAW_ORIG_YR6_RT,Percent of first-generation students withdrawn from original institution within 6 years
1391,FIRSTGEN_WDRAW_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 6 years
1392,FIRSTGEN_WDRAW_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 6 years
1393,FIRSTGEN_ENRL_ORIG_YR6_RT,Percent of first-generation students who were still enrolled at original institution within 6 years
1394,FIRSTGEN_ENRL_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 6 years
1395,FIRSTGEN_ENRL_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 6 years
1396,FIRSTGEN_UNKN_ORIG_YR6_RT,Percent of first-generation students with status unknown within 6 years at original institution
1397,FIRSTGEN_UNKN_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 6 years
1398,FIRSTGEN_UNKN_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 6 years
1399,NOT1STGEN_DEATH_YR6_RT,Percent of not-first-generation students who died within 6 years at original institution
1400,NOT1STGEN_COMP_ORIG_YR6_RT,Percent of not-first-generation students who completed within 6 years at original institution
1401,NOT1STGEN_COMP_4YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 4-year institution and completed within 6 years
1402,NOT1STGEN_COMP_2YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 6 years
1403,NOT1STGEN_WDRAW_ORIG_YR6_RT,Percent of not-first-generation students withdrawn from original institution within 6 years
1404,NOT1STGEN_WDRAW_4YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 6 years
1405,NOT1STGEN_WDRAW_2YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 6 years
1406,NOT1STGEN_ENRL_ORIG_YR6_RT,Percent of not-first-generation students who were still enrolled at original institution within 6 years
1407,NOT1STGEN_ENRL_4YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 6 years
1408,NOT1STGEN_ENRL_2YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 6 years
1409,NOT1STGEN_UNKN_ORIG_YR6_RT,Percent of not-first-generation students with status unknown within 6 years at original institution
1410,NOT1STGEN_UNKN_4YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 6 years
1411,NOT1STGEN_UNKN_2YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 6 years
1412,DEATH_YR8_RT,Percent died within 8 years at original institution
1413,COMP_ORIG_YR8_RT,Percent completed within 8 years at original institution
1414,COMP_4YR_TRANS_YR8_RT,Percent who transferred to a 4-year institution and completed within 8 years
1415,COMP_2YR_TRANS_YR8_RT,Percent who transferred to a 2-year institution and completed within 8 years
1416,WDRAW_ORIG_YR8_RT,Percent withdrawn from original institution within 8 years
1417,WDRAW_4YR_TRANS_YR8_RT,Percent who transferred to a 4-year institution and withdrew within 8 years
1418,WDRAW_2YR_TRANS_YR8_RT,Percent who transferred to a 2-year institution and withdrew within 8 years
1419,ENRL_ORIG_YR8_RT,Percent still enrolled at original institution within 8 years
1420,ENRL_4YR_TRANS_YR8_RT,Percent who transferred to a 4-year institution and were still enrolled within 8 years
1421,ENRL_2YR_TRANS_YR8_RT,Percent who transferred to a 2-year institution and were still enrolled within 8 years
1422,UNKN_ORIG_YR8_RT,Percent with status unknown within 8 years at original institution
1423,UNKN_4YR_TRANS_YR8_RT,Percent who transferred to a 4-year institution and whose status is unknown within 8 years
1424,UNKN_2YR_TRANS_YR8_RT,Percent who transferred to a 2-year institution and whose status is unknown within 8 years
1425,LO_INC_DEATH_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who died within 8 years at original institution"
1426,LO_INC_COMP_ORIG_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 8 years at original institution"
1427,LO_INC_COMP_4YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 8 years"
1428,LO_INC_COMP_2YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 8 years"
1429,LO_INC_WDRAW_ORIG_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 8 years"
1430,LO_INC_WDRAW_4YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 8 years"
1431,LO_INC_WDRAW_2YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 8 years"
1432,LO_INC_ENRL_ORIG_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 8 years"
1433,LO_INC_ENRL_4YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 8 years"
1434,LO_INC_ENRL_2YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 8 years"
1435,LO_INC_UNKN_ORIG_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 8 years at original institution"
1436,LO_INC_UNKN_4YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 8 years"
1437,LO_INC_UNKN_2YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 8 years"
1438,MD_INC_DEATH_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 8 years at original institution"
1439,MD_INC_COMP_ORIG_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 8 years at original institution"
1440,MD_INC_COMP_4YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 8 years"
1441,MD_INC_COMP_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 8 years"
1442,MD_INC_WDRAW_ORIG_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 8 years"
1443,MD_INC_WDRAW_4YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 8 years"
1444,MD_INC_WDRAW_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 8 years"
1445,MD_INC_ENRL_ORIG_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 8 years"
1446,MD_INC_ENRL_4YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 8 years"
1447,MD_INC_ENRL_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 8 years"
1448,MD_INC_UNKN_ORIG_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 8 years at original institution"
1449,MD_INC_UNKN_4YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 8 years"
1450,MD_INC_UNKN_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 8 years"
1451,HI_INC_DEATH_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who died within 8 years at original institution"
1452,HI_INC_COMP_ORIG_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 8 years at original institution"
1453,HI_INC_COMP_4YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 8 years"
1454,HI_INC_COMP_2YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 8 years"
1455,HI_INC_WDRAW_ORIG_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 8 years"
1456,HI_INC_WDRAW_4YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 8 years"
1457,HI_INC_WDRAW_2YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 8 years"
1458,HI_INC_ENRL_ORIG_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 8 years"
1459,HI_INC_ENRL_4YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 8 years"
1460,HI_INC_ENRL_2YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 8 years"
1461,HI_INC_UNKN_ORIG_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 8 years at original institution"
1462,HI_INC_UNKN_4YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 8 years"
1463,HI_INC_UNKN_2YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 8 years"
1464,DEP_DEATH_YR8_RT,Percent of dependent students who died within 8 years at original institution
1465,DEP_COMP_ORIG_YR8_RT,Percent of dependent students who completed within 8 years at original institution
1466,DEP_COMP_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and completed within 8 years
1467,DEP_COMP_2YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 2-year institution and completed within 8 years
1468,DEP_WDRAW_ORIG_YR8_RT,Percent of dependent students withdrawn from original institution within 8 years
1469,DEP_WDRAW_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 8 years
1470,DEP_WDRAW_2YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 2-year institution and withdrew within 8 years
1471,DEP_ENRL_ORIG_YR8_RT,Percent of dependent students who were still enrolled at original institution within 8 years
1472,DEP_ENRL_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 8 years
1473,DEP_ENRL_2YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 8 years
1474,DEP_UNKN_ORIG_YR8_RT,Percent of dependent students with status unknown within 8 years at original institution
1475,DEP_UNKN_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 8 years
1476,DEP_UNKN_2YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 8 years
1477,IND_DEATH_YR8_RT,Percent of independent students who died within 8 years at original institution
1478,IND_COMP_ORIG_YR8_RT,Percent of independent students who completed within 8 years at original institution
1479,IND_COMP_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and completed within 8 years
1480,IND_COMP_2YR_TRANS_YR8_RT,Percent of independent students who transferred to a 2-year institution and completed within 8 years
1481,IND_WDRAW_ORIG_YR8_RT,Percent of independent students withdrawn from original institution within 8 years
1482,IND_WDRAW_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 8 years
1483,IND_WDRAW_2YR_TRANS_YR8_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 8 years
1484,IND_ENRL_ORIG_YR8_RT,Percent of independent students who were still enrolled at original institution within 8 years
1485,IND_ENRL_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and were still enrolled within 8 years
1486,IND_ENRL_2YR_TRANS_YR8_RT,Percent of independent students who transferred to a 2-year institution and were still enrolled within 8 years
1487,IND_UNKN_ORIG_YR8_RT,Percent of independent students with status unknown within 8 years at original institution
1488,IND_UNKN_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and whose status is unknown within 8 years
1489,IND_UNKN_2YR_TRANS_YR8_RT,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 8 years
1490,FEMALE_DEATH_YR8_RT,Percent of female students who died within 8 years at original institution
1491,FEMALE_COMP_ORIG_YR8_RT,Percent of female students who completed within 8 years at original institution
1492,FEMALE_COMP_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and completed within 8 years
1493,FEMALE_COMP_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and completed within 8 years
1494,FEMALE_WDRAW_ORIG_YR8_RT,Percent of female students withdrawn from original institution within 8 years
1495,FEMALE_WDRAW_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and withdrew within 8 years
1496,FEMALE_WDRAW_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and withdrew within 8 years
1497,FEMALE_ENRL_ORIG_YR8_RT,Percent of female students who were still enrolled at original institution within 8 years
1498,FEMALE_ENRL_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 8 years
1499,FEMALE_ENRL_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 8 years
1500,FEMALE_UNKN_ORIG_YR8_RT,Percent of female students with status unknown within 8 years at original institution
1501,FEMALE_UNKN_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 8 years
1502,FEMALE_UNKN_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 8 years
1503,MALE_DEATH_YR8_RT,Percent of male students who died within 8 years at original institution
1504,MALE_COMP_ORIG_YR8_RT,Percent of male students who completed within 8 years at original institution
1505,MALE_COMP_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and completed within 8 years
1506,MALE_COMP_2YR_TRANS_YR8_RT,Percent of male students who transferred to a 2-year institution and completed within 8 years
1507,MALE_WDRAW_ORIG_YR8_RT,Percent of male students withdrawn from original institution within 8 years
1508,MALE_WDRAW_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and withdrew within 8 years
1509,MALE_WDRAW_2YR_TRANS_YR8_RT,Percent of male students who transferred to a 2-year institution and withdrew within 8 years
1510,MALE_ENRL_ORIG_YR8_RT,Percent of male students who were still enrolled at original institution within 8 years
1511,MALE_ENRL_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 8 years
1512,MALE_ENRL_2YR_TRANS_YR8_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 8 years
1513,MALE_UNKN_ORIG_YR8_RT,Percent of male students with status unknown within 8 years at original institution
1514,MALE_UNKN_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and whose status is unknown within 8 years
1515,MALE_UNKN_2YR_TRANS_YR8_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 8 years
1516,PELL_DEATH_YR8_RT,Percent of students who received a Pell Grant at the institution and who died within 8 years at original institution
1517,PELL_COMP_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and who completed in 8 years at original institution
1518,PELL_COMP_4YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 8 years
1519,PELL_COMP_2YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 8 years
1520,PELL_WDRAW_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 8 years
1521,PELL_WDRAW_4YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 8 years
1522,PELL_WDRAW_2YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 8 years
1523,PELL_ENRL_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 8 years
1524,PELL_ENRL_4YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 8 years
1525,PELL_ENRL_2YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 8 years
1526,PELL_UNKN_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 8 years at original institution
1527,PELL_UNKN_4YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years
1528,PELL_UNKN_2YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years
1529,NOPELL_DEATH_YR8_RT,Percent of students who never received a Pell Grant at the institution and who died within 8 years at original institution
1530,NOPELL_COMP_ORIG_YR8_RT,Percent of students who never received a Pell Grant at the institution and who completed in 8 years at original institution
1531,NOPELL_COMP_4YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 8 years
1532,NOPELL_COMP_2YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 8 years
1533,NOPELL_WDRAW_ORIG_YR8_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 8 years
1534,NOPELL_WDRAW_4YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 8 years
1535,NOPELL_WDRAW_2YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 8 years
1536,NOPELL_ENRL_ORIG_YR8_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 8 years
1537,NOPELL_ENRL_4YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 8 years
1538,NOPELL_ENRL_2YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 8 years
1539,NOPELL_UNKN_ORIG_YR8_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 8 years at original institution
1540,NOPELL_UNKN_4YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years
1541,NOPELL_UNKN_2YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years
1542,LOAN_DEATH_YR8_RT,Percent of students who received a federal loan at the institution and who died within 8 years at original institution
1543,LOAN_COMP_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and who completed in 8 years at original institution
1544,LOAN_COMP_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 8 years
1545,LOAN_COMP_2YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 8 years
1546,LOAN_WDRAW_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 8 years
1547,LOAN_WDRAW_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 8 years
1548,LOAN_WDRAW_2YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 8 years
1549,LOAN_ENRL_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 8 years
1550,LOAN_ENRL_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 8 years
1551,LOAN_ENRL_2YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 8 years
1552,LOAN_UNKN_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and with status unknown within 8 years at original institution
1553,LOAN_UNKN_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years
1554,LOAN_UNKN_2YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years
1555,NOLOAN_DEATH_YR8_RT,Percent of students who never received a federal loan at the institution and who died within 8 years at original institution
1556,NOLOAN_COMP_ORIG_YR8_RT,Percent of students who never received a federal loan at the institution and who completed in 8 years at original institution
1557,NOLOAN_COMP_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 8 years
1558,NOLOAN_COMP_2YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 8 years
